name,ingredients,steps
Foie Gras,"['Fresh duck/goose liver', 'Salt', 'White pepper', 'Sugar', 'Cognac or brandy', 'Port wine']","['Remove veins from liver.', 'Season with salt, pepper, and sugar.', 'Marinate in cognac/brandy.', 'Cook in oven at 300°F (150°C) for 45-60 mins in a water bath.', 'Chill before serving.']"
Club Sandwich,"['Sliced bread', 'Turkey/Chicken breast', 'Bacon', 'Lettuce', 'Tomato', 'Mayonnaise']","['Toast bread.', 'Layer with turkey/chicken, bacon, lettuce, tomato, and mayonnaise.', 'Top with another slice of bread.', 'Cut into triangles and serve.']"
Gnocchi,"['Potatoes', 'Flour', 'Egg', 'Salt']","['Cook potatoes until tender.', 'Mash and mix with flour, egg, and salt.', 'Roll into ropes and cut into pieces.', 'Cook in boiling water until they float.', 'Drain and serve with sauce.']"
Ice Cream,"['Heavy cream', 'Whole milk', 'Sugar', 'Vanilla extract', 'Salt']","['Combine ingredients.', ""Freeze in ice cream maker according to manufacturer's instructions.""]"
Samosa,"['Potatoes', 'Peas', 'Spices (such as cumin, coriander, turmeric)', 'Onion', 'Garlic', 'Ginger', 'Phyllo dough or pastry dough']","['Boil potatoes.', 'Sauté onion, garlic, ginger, and spices.', 'Add peas and mashed potatoes.', 'Fill pastry dough with filling.', 'Fry until golden brown.']"
Donuts,"['Flour', 'Sugar', 'Yeast', 'Milk', 'Egg', 'Butter', 'Salt', 'Oil (for frying)']","['Mix ingredients to form dough.', 'Let rise until doubled.', 'Roll out dough and cut into shapes.', 'Fry until golden brown.', 'Coat with sugar or glaze.']"
Tuna Tartare,"['Fresh tuna', 'Soy sauce', 'Sesame oil', 'Lime juice', 'Ginger', 'Garlic', 'Green onions', 'Avocado', 'Salt and pepper']","['Dice tuna.', 'Mix with soy sauce, sesame oil, lime juice, ginger, garlic, and green onions.', 'Season with salt and pepper.', 'Serve with sliced avocado.']"
Filet Mignon,"['Filet mignon steaks', 'Salt', 'Pepper', 'Olive oil', 'Butter', 'Rosemary', 'Garlic']","['Season steaks with salt and pepper.', 'Sear in olive oil and butter.', 'Add rosemary and garlic.', 'Cook to desired doneness.']"
Seaweed Salad,"['Seaweed', 'Soy sauce', 'Rice vinegar', 'Sesame oil', 'Sugar', 'Garlic', 'Ginger', 'Green onions', 'Sesame seeds']","['Rinse and soak seaweed.', 'Mix soy sauce, rice vinegar, sesame oil, sugar, garlic, and ginger for dressing.', 'Toss seaweed with dressing, green onions, and sesame seeds.', 'Chill before serving.']"
French Toast,"['Bread slices', 'Eggs', 'Milk', 'Vanilla extract', 'Cinnamon', 'Butter', 'Maple syrup (optional)']","['Whisk eggs, milk, vanilla extract, and cinnamon.', 'Dip bread slices in egg mixture.', 'Cook in buttered skillet until golden brown on both sides.', 'Serve hot with maple syrup if desired.']"
